DISTRICT,STATE_ABBR,STATE,ELECTION_YEAR,CLASS_OR_OFFICE,IE_LIVE_RATING,RATING_NUMERIC,IE_LIVE_SIGNED,IE_PREVIOUS_RATING,IE_SHIFT,FLIPPED,IE_RATING_DATE,IE_INCUMBENT_NAME,IE_INCUMBENT_PARTY,IE_OPEN,IE_SPECIAL,NOTE
CA-26,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2026-05-08T00:00:00-05:00,Brownley,D,True,False,
CA-47,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2026-05-08T00:00:00-05:00,Min,D,False,False,
CA-48,CA,California,2026,House,Tilt Democrat,3,1.0,Tilt Democrat,no-change,True,2026-05-08T00:00:00-05:00,Issa,R,True,False,
CO-03,CO,Colorado,2026,House,Likely Republican,9,-3.0,Likely Republican,no-change,False,2026-05-08T00:00:00-05:00,Hurd,R,False,False,
FL-09,FL,Florida,2026,House,Likely Republican,9,-3.0,Solid Democrat,right,True,2026-05-08T00:00:00-05:00,Soto,D,False,False,
FL-11,FL,Florida,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-05-08T00:00:00-05:00,Webster,R,True,False,
FL-14,FL,Florida,2026,House,Lean Republican,8,-2.0,Solid Democrat,right,True,2026-05-08T00:00:00-05:00,Castor,D,False,False,
FL-22,FL,Florida,2026,House,Tilt Republican,7,-1.0,Solid Democrat,right,True,2026-05-08T00:00:00-05:00,Frankel running in FL-23,D,True,False,
FL-23,FL,Florida,2026,House,Solid Democrat,0,4.0,Lean Democrat,left,False,2026-05-08T00:00:00-05:00,Moskowitz running in FL-25,D,True,False,
FL-25,FL,Florida,2026,House,Toss-up,5,0.0,Solid Democrat,right,False,2026-05-08T00:00:00-05:00,Wasserman Schultz running in FL-20,D,True,False,
FL-27,FL,Florida,2026,House,Likely Republican,9,-3.0,Likely Republican,no-change,False,2026-05-08T00:00:00-05:00,Salazar,R,False,False,
GA-14,GA,Georgia,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-05-08T00:00:00-05:00,Fuller,R,False,False,
MI-03,MI,Michigan,2026,House,Likely Democrat,1,3.0,Likely Democrat,no-change,False,2026-05-08T00:00:00-05:00,Scholten,D,False,False,
MO-06,MO,Missouri,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-05-08T00:00:00-05:00,S. Graves,R,True,False,
MT-01,MT,Montana,2026,House,Likely Republican,9,-3.0,Likely Republican,no-change,False,2026-05-08T00:00:00-05:00,Zinke,R,True,False,
NY-21,NY,New York,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-05-08T00:00:00-05:00,Stefanik,R,True,False,
NC-01,NC,North Carolina,2026,House,Lean Republican,8,-2.0,Lean Republican,no-change,True,2026-05-08T00:00:00-05:00,Davis,D,False,False,
OH-13,OH,Ohio,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2026-05-08T00:00:00-05:00,Sykes,D,False,False,
OK-01,OK,Oklahoma,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-05-08T00:00:00-05:00,Hern,R,True,False,
TN-05,TN,Tennessee,2026,House,Solid Republican,10,-4.0,Likely Republican,right,False,2026-05-08T00:00:00-05:00,Ogles,R,True,False,
TN-09,TN,Tennessee,2026,House,Solid Republican,10,-4.0,Solid Democrat,right,True,2026-05-08T00:00:00-05:00,Cohen,D,True,False,
TX-02,TX,Texas,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-05-08T00:00:00-05:00,Crenshaw,R,True,False,
TX-23,TX,Texas,2026,House,Likely Republican,9,-3.0,Likely Republican,no-change,False,2026-05-08T00:00:00-05:00,VACANT,R,False,True,
UT-01,UT,Utah,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,True,2026-05-08T00:00:00-05:00,Moore,R,True,False,
UT-02,UT,Utah,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-05-08T00:00:00-05:00,Maloy running in UT-03,R,True,False,
UT-03,UT,Utah,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-05-08T00:00:00-05:00,Kennedy running in UT-04,R,True,False,
UT-04,UT,Utah,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-05-08T00:00:00-05:00,Burgess Owens,R,True,False,
WI-01,WI,Wisconsin,2026,House,Solid Republican,10,-4.0,Likely Republican,right,False,2026-03-12T16:14:51-05:00,Steil,R,False,False,
FL-02,FL,Florida,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-02-05T05:55:48-05:00,Dunn,R,True,False,
FL-16,FL,Florida,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-02-05T05:55:48-05:00,Buchanan,R,True,False,
GA-10,GA,Georgia,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-02-05T05:55:48-05:00,Collins,R,True,False,
GA-11,GA,Georgia,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-02-05T05:55:48-05:00,Loudermilk,R,True,False,
LA-05,LA,Louisiana,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-02-05T05:55:48-05:00,Letlow,R,True,False,
MD-05,MD,Maryland,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2026-02-05T05:55:48-05:00,Hoyer,D,True,False,
NJ-11,NJ,New Jersey,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2026-02-05T05:55:48-05:00,Mejia,D,False,False,
SC-05,SC,South Carolina,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-02-05T05:55:48-05:00,Norman,R,True,False,
TX-18,TX,Texas,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2026-02-05T05:55:48-05:00,Menefee,D,False,False,
TX-38,TX,Texas,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-02-05T05:55:48-05:00,Wesley Hunt,R,True,False,
WY-AL,WY,Wyoming,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2026-02-05T05:55:48-05:00,Harriet Hageman,R,True,False,
AL-01,AL,Alabama,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Moore,R,True,False,
AL-03,AL,Alabama,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,M. Rogers,R,False,False,
AL-04,AL,Alabama,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Aderholt,R,False,False,
AL-05,AL,Alabama,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Strong,R,False,False,
AL-06,AL,Alabama,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Palmer,R,False,False,
AL-07,AL,Alabama,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Sewell,D,False,False,
AK-AL,AK,Alaska,2026,House,Likely Republican,9,-3.0,Likely Republican,no-change,False,2025-12-05T00:00:00-05:00,Begich,R,False,False,
AZ-01,AZ,Arizona,2026,House,Toss-up,5,0.0,Toss-up,no-change,False,2025-12-05T00:00:00-05:00,Schweikert,R,True,False,
AZ-02,AZ,Arizona,2026,House,Likely Republican,9,-3.0,Likely Republican,no-change,False,2025-12-05T00:00:00-05:00,Crane,R,False,False,
AZ-03,AZ,Arizona,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Ansari,D,False,False,
AZ-04,AZ,Arizona,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Stanton,D,False,False,
AZ-05,AZ,Arizona,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Biggs,R,True,False,
AZ-06,AZ,Arizona,2026,House,Toss-up,5,0.0,Toss-up,no-change,False,2025-12-05T00:00:00-05:00,Ciscomani,R,False,False,
AZ-07,AZ,Arizona,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Grijalva,D,False,False,
AZ-08,AZ,Arizona,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Hamadeh,R,False,False,
AR-01,AR,Arkansas,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Crawford,R,False,False,
AR-02,AR,Arkansas,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Hill,R,False,False,
AR-03,AR,Arkansas,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Womack,R,False,False,
AR-04,AR,Arkansas,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Westerman,R,False,False,
CA-02,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Huffman,D,False,False,
CA-04,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Thompson,D,False,False,
CA-05,CA,California,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,McClintock,R,False,False,
CA-07,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Matsui,D,False,False,
CA-08,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Garamendi,D,False,False,
CA-09,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Harder,D,False,False,
CA-10,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,DeSaulnier,D,False,False,
CA-11,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Pelosi,D,True,False,
CA-12,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Simon,D,False,False,
CA-13,CA,California,2026,House,Tilt Democrat,3,1.0,Tilt Democrat,no-change,False,2025-12-05T00:00:00-05:00,Gray,D,False,False,
CA-15,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Mullin,D,False,False,
CA-16,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Liccardo,D,False,False,
CA-17,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Khanna,D,False,False,
CA-18,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Lofgren,D,False,False,
CA-19,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Panetta,D,False,False,
CA-20,CA,California,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Fong,R,False,False,
CA-22,CA,California,2026,House,Tilt Republican,7,-1.0,Tilt Republican,no-change,False,2025-12-05T00:00:00-05:00,Valadao,R,False,False,
CA-23,CA,California,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Obernolte,R,False,False,
CA-24,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Carbajal,D,False,False,
CA-27,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Whitesides,D,False,False,
CA-28,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Chu,D,False,False,
CA-29,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Rivas,D,False,False,
CA-30,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Friedman,D,False,False,
CA-31,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Cisneros,D,False,False,
CA-32,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Sherman,D,False,False,
CA-33,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Aguilar,D,False,False,
CA-34,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Gomez,D,False,False,
CA-35,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Torres,D,False,False,
CA-36,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Lieu,D,False,False,
CA-37,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Kamlager-Dove,D,False,False,
CA-38,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Sanchez,D,True,False,
CA-39,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Takano,D,False,False,
CA-40,CA,California,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Young Kim,R,False,False,
CA-41,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,True,2025-12-05T00:00:00-05:00,Calvert running in CA-40,R,True,False,
CA-42,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,R. Garcia,D,False,False,
CA-43,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Waters,D,False,False,
CA-44,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Barragan,D,False,False,
CA-46,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Correa,D,False,False,
CA-49,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Levin,D,False,False,
CA-50,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Peters,D,False,False,
CA-51,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Jacobs,D,False,False,
CA-52,CA,California,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Vargas,D,False,False,
CO-01,CO,Colorado,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,DeGette,D,False,False,
CO-02,CO,Colorado,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Neguse,D,False,False,
CO-04,CO,Colorado,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Boebert,R,False,False,
CO-06,CO,Colorado,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Crow,D,False,False,
CO-07,CO,Colorado,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Pettersen,D,False,False,
CT-01,CT,Connecticut,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Larson,D,True,False,
CT-02,CT,Connecticut,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Courtney,D,False,False,
CT-03,CT,Connecticut,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,DeLauro,D,False,False,
CT-04,CT,Connecticut,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Himes,D,False,False,
CT-05,CT,Connecticut,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Hayes,D,False,False,
DE-AL,DE,Delaware,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,McBride,D,False,False,
FL-01,FL,Florida,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Patronis,R,False,False,
FL-03,FL,Florida,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Cammack,R,False,False,
FL-04,FL,Florida,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Bean,R,False,False,
FL-05,FL,Florida,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Rutherford,R,False,False,
FL-06,FL,Florida,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Fine,R,False,False,
FL-07,FL,Florida,2026,House,Likely Republican,9,-3.0,Solid Republican,left,False,2025-12-05T00:00:00-05:00,Mills,R,True,False,
FL-08,FL,Florida,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Haridopolos,R,False,False,
FL-10,FL,Florida,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Frost,D,False,False,
FL-12,FL,Florida,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Bilirakis,R,False,False,
FL-13,FL,Florida,2026,House,Likely Republican,9,-3.0,Likely Republican,no-change,False,2025-12-05T00:00:00-05:00,Luna,R,False,False,
FL-15,FL,Florida,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Lee,R,False,False,
FL-17,FL,Florida,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Steube,R,False,False,
FL-18,FL,Florida,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Franklin,R,False,False,
FL-19,FL,Florida,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Donalds,R,True,False,
FL-20,FL,Florida,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,VACANT,D,False,True,
FL-21,FL,Florida,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Mast,R,False,False,
FL-24,FL,Florida,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Wilson,D,True,False,
GA-01,GA,Georgia,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,B. Carter,R,True,False,
GA-02,GA,Georgia,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,S. Bishop,D,False,False,
GA-03,GA,Georgia,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Jack,R,False,False,
GA-04,GA,Georgia,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,H. Johnson,D,False,False,
GA-05,GA,Georgia,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,N. Williams,D,False,False,
GA-06,GA,Georgia,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,McBath,D,False,False,
GA-07,GA,Georgia,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,McCormick,R,False,False,
GA-08,GA,Georgia,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,A. Scott,R,False,False,
GA-09,GA,Georgia,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Clyde,R,False,False,
GA-12,GA,Georgia,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Allen,R,False,False,
GA-13,GA,Georgia,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Everton Blair,D,True,False,
HI-01,HI,Hawaii,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Case,D,False,False,
HI-02,HI,Hawaii,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Tokuda,D,False,False,
ID-01,ID,Idaho,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Fulcher,R,False,False,
ID-02,ID,Idaho,2026,House,Solid Republican,10,-4.0,Solid Republican,no-change,False,2025-12-05T00:00:00-05:00,Simpson,R,False,False,
IL-01,IL,Illinois,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Jackson,D,False,False,
IL-02,IL,Illinois,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,R. Kelly,D,True,False,
IL-03,IL,Illinois,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Ramirez,D,False,False,
IL-04,IL,Illinois,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,J. Garcia,D,True,False,
IL-05,IL,Illinois,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Quigley,D,False,False,
IL-06,IL,Illinois,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Casten,D,False,False,
IL-07,IL,Illinois,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,D. Davis,D,True,False,
IL-08,IL,Illinois,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Krishnamoorthi,D,True,False,
IL-09,IL,Illinois,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Schakowsky,D,True,False,
IL-10,IL,Illinois,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Schneider,D,False,False,
IL-11,IL,Illinois,2026,House,Solid Democrat,0,4.0,Solid Democrat,no-change,False,2025-12-05T00:00:00-05:00,Foster,D,False,False,
