District ID,Rating Raw,Rating Standardized,Rating Numeric,Rating Signed v27,Date,Previous Rating Raw,Previous Rating Standardized,Shift,Incumbent,Party,Open,Special,Note,Retrieved At
AZ-03,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Ansari,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
AZ-04,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Stanton,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
AZ-05,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Biggs,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
AZ-06,Toss-up,Tossup,5,0.0,2025-12-05T00:00:00-05:00,Toss-up,Tossup,no-change,Ciscomani,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
AZ-07,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Grijalva,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
AZ-08,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Hamadeh,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
AR-01,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Crawford,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
AR-02,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Hill,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
AR-03,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Womack,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
AR-04,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Westerman,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
CA-02,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Huffman,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-04,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Thompson,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-05,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,McClintock,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
CA-07,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Matsui,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-08,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Garamendi,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-09,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Harder,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-10,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,DeSaulnier,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-11,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Pelosi,Democrat,True,False,,2026-09-08T11:21:44.007813+00:00
CA-12,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Simon,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-13,Tilt Democrat,Tilt D,3,1.0,2025-12-05T00:00:00-05:00,Tilt Democrat,Tilt D,no-change,Gray,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-15,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Mullin,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-16,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Liccardo,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-17,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Khanna,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-18,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Lofgren,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-19,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Panetta,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-20,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Fong,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
CA-22,Tilt Republican,Tilt R,7,-1.0,2025-12-05T00:00:00-05:00,Tilt Republican,Tilt R,no-change,Valadao,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
CA-23,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Obernolte,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
CA-24,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Carbajal,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-27,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Whitesides,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-28,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Chu,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-29,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Rivas,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-30,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Friedman,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-31,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Cisneros,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-32,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Sherman,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-33,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Aguilar,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-34,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Gomez,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-35,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Torres,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-36,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Lieu,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-37,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Kamlager-Dove,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-38,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Sanchez,Democrat,True,False,,2026-09-08T11:21:44.007813+00:00
CA-39,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Takano,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-40,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Young Kim; Ken Calvert,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
CA-41,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Ken Calvert; Linda Sanchez,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
CA-42,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,R. Garcia,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-43,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Waters,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-44,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Barragan,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-46,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Correa,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-49,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Levin,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-50,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Peters,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-51,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Jacobs,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CA-52,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Vargas,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CO-01,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,DeGette,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CO-02,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Neguse,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CO-04,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Boebert,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
CO-06,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Crow,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CO-07,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Pettersen,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CT-01,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Larson,Democrat,True,False,,2026-09-08T11:21:44.007813+00:00
CT-02,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Courtney,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CT-03,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,DeLauro,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CT-04,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Himes,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
CT-05,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,Hayes,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
DE-AL,Solid Democrat,Safe D,0,4.0,2025-12-05T00:00:00-05:00,Solid Democrat,Safe D,no-change,McBride,Democrat,False,False,,2026-09-08T11:21:44.007813+00:00
FL-01,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Patronis,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
FL-03,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Cammack,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
FL-04,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Bean,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
FL-05,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Rutherford,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
FL-06,Solid Republican,Safe R,10,-4.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,no-change,Fine,Republican,False,False,,2026-09-08T11:21:44.007813+00:00
FL-07,Likely Republican,Likely R,9,-3.0,2025-12-05T00:00:00-05:00,Solid Republican,Safe R,left,Mills,Republican,True,False,,2026-09-08T11:21:44.007813+00:00
