Matchup,cd,dem_name,rep_name,prediction,raw_prediction,bucket,win_prob_d,flip,win_prob_r,District ID,Rating Standardized,Rating Signed v27
Seth Harp (D) vs Kat Cammack (R),FL-03,Seth Harp,Kat Cammack,R+18.2,18.2,Safe R,1,N,99,FL-03,Safe R,-4.0
LaShonda Holloway (D) vs Aaron Bean (R),FL-04,LaShonda Holloway,Aaron Bean,R+9.5,9.5,Likely R,8,N,92,FL-04,Likely R,-3.0
Rachel Grage (D) vs John Rutherford (R),FL-05,Rachel Grage,John Rutherford,R+19.6,19.6,Safe R,0,N,100,FL-05,Safe R,-4.0
Eric Yonce (D) vs Randy Fine (R),FL-06,Eric Yonce,Randy Fine,R+26.9,26.9,Safe R,0,N,100,FL-06,Safe R,-4.0
Bale Dalton (D) vs Ryan Elijah (R),FL-07,Bale Dalton,Ryan Elijah,R+3.6,3.6,Lean R,30,N,70,FL-07,Lean R,-2.0
Jennifer Jenkins (D) vs Mike Haridopolos (R),FL-08,Jennifer Jenkins,Mike Haridopolos,R+12.5,12.5,Safe R,4,N,96,FL-08,Safe R,-4.0
Darren Soto (D) vs Dan Green (R),FL-09,Darren Soto,Dan Green,R+6.4,6.4,Likely R,17,Y,83,FL-09,Likely R,-3.0
Maxwell Frost (D) vs Eventual Nominee (R),FL-10,Maxwell Frost,Eventual Nominee,D+36.2,-36.2,Safe D,100,N,0,FL-10,Safe D,4.0
James Pericola (D) vs Joe Strada (R),FL-11,James Pericola,Joe Strada,R+10.2,10.2,Likely R,7,N,93,FL-11,Likely R,-3.0
Kimberly Overman (D) vs Gus Bilirakis (R),FL-12,Kimberly Overman,Gus Bilirakis,R+12.0,12.0,Safe R,4,N,96,FL-12,Safe R,-4.0
Leela Gray (D) vs Anna Paulina Luna (R),FL-13,Leela Gray,Anna Paulina Luna,R+6.9,6.9,Likely R,16,N,84,FL-13,Likely R,-3.0
Kathy Castor (D) vs Mike Beltran (R),FL-14,Kathy Castor,Mike Beltran,D+1.2,-1.2,Tossup,57,N,43,FL-14,Tossup,0.0
Robert People (D) vs Laurel Lee (R),FL-15,Robert People,Laurel Lee,R+17.6,17.6,Safe R,1,N,99,FL-15,Safe R,-4.0
Kelly Kirschner (D) vs Sydney Gruters (R),FL-16,Kelly Kirschner,Sydney Gruters,R+7.2,7.2,Likely R,14,N,86,FL-16,Likely R,-3.0
Matthew Montavon (D) vs Greg Steube (R),FL-17,Matthew Montavon,Greg Steube,R+20.3,20.3,Safe R,0,N,100,FL-17,Safe R,-4.0
Curtis Gibson (D) vs Scott Franklin (R),FL-18,Curtis Gibson,Scott Franklin,R+14.2,14.2,Safe R,2,N,98,FL-18,Safe R,-4.0
Victor Arias (D) vs Jim Schwartzel (R),FL-19,Victor Arias,Jim Schwartzel,R+25.4,25.4,Safe R,0,N,100,FL-19,Safe R,-4.0
Debbie Wasserman Schultz (D) vs Brent Andersen (R),FL-20,Debbie Wasserman Schultz,Brent Andersen,D+48.1,-48.1,Safe D,100,N,0,FL-20,Safe D,4.0
James Martin (D) vs Brian Mast (R),FL-21,James Martin,Brian Mast,R+14.7,14.7,Safe R,2,N,98,FL-21,Safe R,-4.0
Pia Dandiya (D) vs Casey Askar (R),FL-22,Pia Dandiya,Casey Askar,R+5.0,5.0,Lean R,23,Y,77,FL-22,Lean R,-2.0
Lois Frankel (D) vs Deborah Adeimy (R),FL-23,Lois Frankel,Deborah Adeimy,D+27.3,-27.3,Safe D,100,N,0,FL-23,Safe D,4.0
Oliver Gilbert (D) vs Te Mayonna Brown (R),FL-24,Oliver Gilbert,Te Mayonna Brown,D+48.8,-48.8,Safe D,100,N,0,FL-24,Safe D,4.0
Jared Moskowitz (D) vs Scott Singer (R),FL-25,Jared Moskowitz,Scott Singer,D+0.9,-0.9,Tossup,56,N,44,FL-25,Tossup,0.0
Nicole Locklin (D) vs Mario Diaz-Balart (R),FL-26,Nicole Locklin,Mario Diaz-Balart,R+18.3,18.3,Safe R,1,N,99,FL-26,Safe R,-4.0
Eliott Rodriguez (D) vs Maria Elvira Salazar (R),FL-27,Eliott Rodriguez,Maria Elvira Salazar,R+11.3,11.3,Safe R,5,N,95,FL-27,Safe R,-4.0
Phil Ehr (D) vs Carlos Gimenez (R),FL-28,Phil Ehr,Carlos Gimenez,R+21.7,21.7,Safe R,0,N,100,FL-28,Safe R,-4.0
Amanda Hollowell (D) vs Jim Kingston (R),GA-01,Amanda Hollowell,Jim Kingston,R+15.1,15.1,Safe R,2,N,98,GA-01,Safe R,-4.0
Sanford Bishop (D) vs Matt Day (R),GA-02,Sanford Bishop,Matt Day,D+17.8,-17.8,Safe D,99,N,1,GA-02,Safe D,4.0
Maura Keller (D) vs Brian Jack (R),GA-03,Maura Keller,Brian Jack,R+32.2,32.2,Safe R,0,N,100,GA-03,Safe R,-4.0
Hank Johnson (D) vs James Duffie (R),GA-04,Hank Johnson,James Duffie,D+60.4,-60.4,Safe D,100,N,0,GA-04,Safe D,4.0
Nikema Williams (D) vs John Oscar Salvesen (R),GA-05,Nikema Williams,John Oscar Salvesen,D+78.2,-78.2,Safe D,100,N,0,GA-05,Safe D,4.0
Lucy McBath (D) vs Kevin Martin (R),GA-06,Lucy McBath,Kevin Martin,D+57.5,-57.5,Safe D,100,N,0,GA-06,Safe D,4.0
Tony Kozycki (D) vs Rich McCormick (R),GA-07,Tony Kozycki,Rich McCormick,R+25.8,25.8,Safe R,0,N,100,GA-07,Safe R,-4.0
Kelly Esti (D) vs Austin Scott (R),GA-08,Kelly Esti,Austin Scott,R+33.4,33.4,Safe R,0,N,100,GA-08,Safe R,-4.0
Caitlyn Gegen (D) vs Andrew Clyde (R),GA-09,Caitlyn Gegen,Andrew Clyde,R+36.1,36.1,Safe R,0,N,100,GA-09,Safe R,-4.0
Pamela Delancy (D) vs Houston Gaines (R),GA-10,Pamela Delancy,Houston Gaines,R+20.5,20.5,Safe R,0,N,100,GA-10,Safe R,-4.0
Chris Harden (D) vs John Cowan (R),GA-11,Chris Harden,John Cowan,R+19.4,19.4,Safe R,0,N,100,GA-11,Safe R,-4.0
Ceretta Smith (D) vs Rick Allen (R),GA-12,Ceretta Smith,Rick Allen,R+17.7,17.7,Safe R,1,N,99,GA-12,Safe R,-4.0
Jasmine Clark (D) vs Jonathan Chavez (R),GA-13,Jasmine Clark,Jonathan Chavez,D+48.5,-48.5,Safe D,100,N,0,GA-13,Safe D,4.0
Shawn Harris (D) vs Clay Fuller (R),GA-14,Shawn Harris,Clay Fuller,R+29.2,29.2,Safe R,0,N,100,GA-14,Safe R,-4.0
Ed Case (D) vs Adriel Lam (R),HI-01,Ed Case,Adriel Lam,D+46.9,-46.9,Safe D,100,N,0,HI-01,Safe D,4.0
Jill Tokuda (D) vs Brenton Awa (R),HI-02,Jill Tokuda,Brenton Awa,D+39.3,-39.3,Safe D,100,N,0,HI-02,Safe D,4.0
Christina Bohannan (D) vs Mariannette Miller-Meeks (R),IA-01,Christina Bohannan,Mariannette Miller-Meeks,D+4.3,-4.3,Lean D,74,Y,26,IA-01,Lean D,2.0
Lindsay James (D) vs Joe Mitchell (R),IA-02,Lindsay James,Joe Mitchell,D+0.2,-0.2,Tossup,51,Y,49,IA-02,Tossup,0.0
Sarah Trone Garriott (D) vs Zach Nunn (R),IA-03,Sarah Trone Garriott,Zach Nunn,D+4.1,-4.1,Lean D,73,Y,27,IA-03,Lean D,2.0
Dave Dawson (D) vs Chris McGowan (R),IA-04,Dave Dawson,Chris McGowan,R+22.9,22.9,Safe R,0,N,100,IA-04,Safe R,-4.0
Kaylee Peterson (D) vs Russ Fulcher (R),ID-01,Kaylee Peterson,Russ Fulcher,R+40.5,40.5,Safe R,0,N,100,ID-01,Safe R,-4.0
Ellie Gilbreath (D) vs Mike Simpson (R),ID-02,Ellie Gilbreath,Mike Simpson,R+24.1,24.1,Safe R,0,N,100,ID-02,Safe R,-4.0
Jonathan Jackson (D) vs Christian Maxwell (R),IL-01,Jonathan Jackson,Christian Maxwell,D+44.9,-44.9,Safe D,100,N,0,IL-01,Safe D,4.0
Donna Miller (D) vs Michael Noack (R),IL-02,Donna Miller,Michael Noack,D+46.1,-46.1,Safe D,100,N,0,IL-02,Safe D,4.0
Delia Ramirez (D) vs Angel Oakley (R),IL-03,Delia Ramirez,Angel Oakley,D+47.9,-47.9,Safe D,100,N,0,IL-03,Safe D,4.0
Patty Garcia (D) vs Lupe Castillo (R),IL-04,Patty Garcia,Lupe Castillo,D+42.3,-42.3,Safe D,100,N,0,IL-04,Safe D,4.0
Mike Quigley (D) vs Tommy Hanson (R),IL-05,Mike Quigley,Tommy Hanson,D+52.0,-52.0,Safe D,100,N,0,IL-05,Safe D,4.0
Sean Casten (D) vs Niki Conforti (R),IL-06,Sean Casten,Niki Conforti,D+21.2,-21.2,Safe D,100,N,0,IL-06,Safe D,4.0
La Shawn Ford (D) vs Chad Koppie (R),IL-07,La Shawn Ford,Chad Koppie,D+76.6,-76.6,Safe D,100,N,0,IL-07,Safe D,4.0
Melissa Bean (D) vs Jennifer Davis (R),IL-08,Melissa Bean,Jennifer Davis,D+17.8,-17.8,Safe D,99,N,1,IL-08,Safe D,4.0
Daniel Biss (D) vs John Elleson (R),IL-09,Daniel Biss,John Elleson,D+45.8,-45.8,Safe D,100,N,0,IL-09,Safe D,4.0
Brad Schneider (D) vs Carl Lambrecht (R),IL-10,Brad Schneider,Carl Lambrecht,D+36.1,-36.1,Safe D,100,N,0,IL-10,Safe D,4.0
Bill Foster (D) vs Jeff Walter (R),IL-11,Bill Foster,Jeff Walter,D+26.4,-26.4,Safe D,100,N,0,IL-11,Safe D,4.0
Julie Fortier (D) vs Mike Bost (R),IL-12,Julie Fortier,Mike Bost,R+38.6,38.6,Safe R,0,N,100,IL-12,Safe R,-4.0
Nikki Budzinski (D) vs Jeff Wilson (R),IL-13,Nikki Budzinski,Jeff Wilson,D+28.5,-28.5,Safe D,100,N,0,IL-13,Safe D,4.0
Lauren Underwood (D) vs James Marter (R),IL-14,Lauren Underwood,James Marter,D+22.8,-22.8,Safe D,100,N,0,IL-14,Safe D,4.0
Jennifer Todd (D) vs Mary Miller (R),IL-15,Jennifer Todd,Mary Miller,R+34.0,34.0,Safe R,0,N,100,IL-15,Safe R,-4.0
Paul Nolley (D) vs Darin LaHood (R),IL-16,Paul Nolley,Darin LaHood,R+21.8,21.8,Safe R,0,N,100,IL-16,Safe R,-4.0
Eric Sorensen (D) vs Dillan Vancil (R),IL-17,Eric Sorensen,Dillan Vancil,D+20.9,-20.9,Safe D,100,N,0,IL-17,Safe D,4.0
Frank Mrvan (D) vs Barb Regnitz (R),IN-01,Frank Mrvan,Barb Regnitz,D+13.9,-13.9,Safe D,98,N,2,IN-01,Safe D,4.0
Jamee Decio (D) vs Rudy Yakym (R),IN-02,Jamee Decio,Rudy Yakym,R+24.2,24.2,Safe R,0,N,100,IN-02,Safe R,-4.0
Kelly Thompson (D) vs Marlin Stutzman (R),IN-03,Kelly Thompson,Marlin Stutzman,R+28.6,28.6,Safe R,0,N,100,IN-03,Safe R,-4.0
Drew Cox (D) vs Jim Baird (R),IN-04,Drew Cox,Jim Baird,R+27.3,27.3,Safe R,0,N,100,IN-04,Safe R,-4.0
J.D. Ford (D) vs Victoria Spartz (R),IN-05,J.D. Ford,Victoria Spartz,R+11.4,11.4,Safe R,5,N,95,IN-05,Safe R,-4.0
Cinde Wirth (D) vs Jefferson Shreve (R),IN-06,Cinde Wirth,Jefferson Shreve,R+28.9,28.9,Safe R,0,N,100,IN-06,Safe R,-4.0
Andre Carson (D) vs Patrick McAuley (R),IN-07,Andre Carson,Patrick McAuley,D+53.9,-53.9,Safe D,100,N,0,IN-07,Safe D,4.0
Mary Allen (D) vs Mark Messmer (R),IN-08,Mary Allen,Mark Messmer,R+33.4,33.4,Safe R,0,N,100,IN-08,Safe R,-4.0
Brad Meyer (D) vs Erin Houchin (R),IN-09,Brad Meyer,Erin Houchin,R+26.8,26.8,Safe R,0,N,100,IN-09,Safe R,-4.0
Lauren Reinhold (D) vs Tracey Mann (R),KS-01,Lauren Reinhold,Tracey Mann,R+29.3,29.3,Safe R,0,N,100,KS-01,Safe R,-4.0
Don Coover (D) vs Derek Schmidt (R),KS-02,Don Coover,Derek Schmidt,R+14.5,14.5,Safe R,2,N,98,KS-02,Safe R,-4.0
Sharice Davids (D) vs Eric Jenkins (R),KS-03,Sharice Davids,Eric Jenkins,D+20.4,-20.4,Safe D,100,N,0,KS-03,Safe D,4.0
Katy Tyndell (D) vs Ron Estes (R),KS-04,Katy Tyndell,Ron Estes,R+20.6,20.6,Safe R,0,N,100,KS-04,Safe R,-4.0
Drew Williams (D) vs James Comer (R),KY-01,Drew Williams,James Comer,R+41.5,41.5,Safe R,0,N,100,KY-01,Safe R,-4.0
Megan Wingfield (D) vs Brett Guthrie (R),KY-02,Megan Wingfield,Brett Guthrie,R+36.9,36.9,Safe R,0,N,100,KY-02,Safe R,-4.0
Morgan McGarvey (D) vs Maria Rodriguez (R),KY-03,Morgan McGarvey,Maria Rodriguez,D+36.2,-36.2,Safe D,100,N,0,KY-03,Safe D,4.0
